track_id,genre,artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
14msK75pk3pA33pzPVNtBF,"Dance, Pop",Ariana Grande,7 rings,100,0.578,0.725,0.321,0.0,0.0884,0.32299999999999995,0.319
6MWtB6iiXyIwun0YzU6DFP,"Rap, Pop",Post Malone,Wow.,99,0.163,0.833,0.539,2.1e-06,0.101,0.17800000000000002,0.385
4kV4N9D1iKVxx1KLvtTpjS,"Dance, Pop",Ariana Grande,"break up with your girlfriend, i'm bored",99,0.0421,0.726,0.5539999999999999,0.0,0.106,0.0917,0.335
5w9c2J52mkdntKOmRLeM2m,"Hip-Hop, Pop",Daddy Yankee,Con Calma,98,0.11,0.737,0.86,1.94e-06,0.0574,0.0593,0.6559999999999999
5iwz1NiezX7WWjnCgY5TH4,Pop,Pedro Capó,Calma - Remix,97,0.32299999999999995,0.826,0.773,0.0,0.14300000000000002,0.0524,0.7609999999999999
25sgk305KZfyuqVBQIahim,"Dance, Pop",Ava Max,Sweet but Psycho,97,0.0691,0.7190000000000001,0.7040000000000001,0.0,0.166,0.0476,0.628
6Qs4SXO9dwPj5GKvVOv8Ki,Pop,Sam Smith,Dancing With A Stranger (with Normani),97,0.45,0.741,0.52,1.97e-06,0.222,0.0656,0.34700000000000003
5p7ujcrUXASCNwRaWNHR1C,"Dance, Indie, Pop",Halsey,Without Me,97,0.297,0.752,0.488,9.11e-06,0.0936,0.0705,0.5329999999999999
2dpaYNEQHiRxtZbfNsse99,Pop,Marshmello,Happier,97,0.191,0.687,0.792,0.0,0.16699999999999998,0.0452,0.6709999999999999
3KkXRkHbMCARz0aVfEt68P,"Rap, Pop",Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,97,0.556,0.76,0.479,0.0,0.0703,0.0466,0.913
2JvzF1RMd7lE3KmFlsyZD8,"Hip-Hop, Rap, Pop",J. Cole,MIDDLE CHILD,96,0.149,0.8370000000000001,0.364,0.0,0.271,0.276,0.463
4w8niZpiMy6qz1mntFA5uM,"Dance, Pop",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",96,0.153,0.841,0.7979999999999999,3.33e-06,0.0618,0.229,0.591
2rPE9A1vEgShuZxxzR2tZH,"Dance, Pop",Ariana Grande,"thank u, next",95,0.28,0.7240000000000001,0.647,0.0,0.102,0.0658,0.435
2VxeLyX666F8uXCJ0dZF8B,"Dance, Pop",Lady Gaga,Shallow,95,0.371,0.5720000000000001,0.385,0.0,0.231,0.0308,0.32299999999999995
2IRZnDFmlqMuOrYOLnZZyc,"Hip-Hop, Rap, Pop",Meek Mill,Going Bad (feat. Drake),95,0.259,0.889,0.496,0.0,0.252,0.0905,0.544
1rqqCSm0Qe4I9rUvWncaom,"Pop, Rock",Panic! At The Disco,High Hopes,95,0.193,0.579,0.904,0.0,0.064,0.0618,0.6809999999999999
6FyRXC8tJUh863JCkyWqtk,Hip-Hop,Paulo Londra,Adan y Eva,95,0.32299999999999995,0.767,0.7090000000000001,0.0,0.0676,0.336,0.72
0rTV5WefWd1J3OwIheTzxM,Pop,Khalid,Talk,94,0.0501,0.9,0.4,0.0,0.0876,0.124,0.338
2xLMifQCjDGFmkHkpNLD9h,"Rap, Pop",Travis Scott,SICKO MODE,94,0.00513,0.8340000000000001,0.73,0.0,0.124,0.222,0.446
5itOtNx0WxtJmi1TQ3RuRd,"Dance, Pop",Calvin Harris,Giant (with Rag'n'Bone Man),94,0.016,0.807,0.887,0.000503,0.0811,0.0361,0.606
